id,gender_cd,wave,num_dates,partner_id,age,field_cd,race_cd,career_cd,prob,decision,rate_p_attr,rate_p_sinc,rate_p_intel,rate_p_fun,rate_p_amb,gender_p_attr,gender_p_sinc,gender_p_intel,gender_p_fun,gender_p_amb,gender_prob,weight
162,1,7,16,142,27,10.0,4.0,4.0,5,0,6,7,7,6,6,6,7,7,6,6,5,0.0625
227,1,9,20,212,26,8.0,2.0,7.0,6,0,6,8,8,6,6,6,8,8,6,6,6,0.05
247,1,10,9,237,25,10.0,4.0,2.0,6,1,5,6,8,5,6,5,6,8,5,6,6,0.1111111111111111
226,1,9,20,198,23,8.0,2.0,6.0,2,0,3,7,6,3,6,3,7,6,3,6,2,0.05
381,0,15,19,413,24,14.0,2.0,6.0,5,1,7,8,5,6,8,0,0,0,0,0,0,0.05263157894736842
423,1,16,6,420,30,8.0,2.0,7.0,6,1,7,8,7,7,7,7,8,7,7,7,6,0.16666666666666666
216,1,9,20,204,27,8.0,2.0,7.0,5,0,7,10,10,10,10,7,10,10,10,10,5,0.05
156,0,7,16,170,30,8.0,1.0,7.0,2,0,4,8,10,3,10,0,0,0,0,0,0,0.0625
169,1,7,16,149,28,10.0,2.0,2.0,8,0,9,8,9,8,8,9,8,9,8,8,8,0.0625
170,1,7,16,156,28,10.0,4.0,4.0,5,1,6,8,8,7,8,6,8,8,7,8,5,0.0625
357,0,14,18,362,27,9.0,4.0,2.0,2,0,3,7,7,4,5,0,0,0,0,0,0,0.05555555555555555
369,1,14,20,342,25,3.0,2.0,3.0,8,1,10,8,7,5,5,10,8,7,5,5,8,0.05
100,1,4,18,84,30,8.0,6.0,2.0,6,0,5,8,9,8,7,5,8,9,8,7,6,0.05555555555555555
399,1,15,18,395,29,8.0,2.0,7.0,7,0,4,5,8,6,8,4,5,8,6,8,7,0.05555555555555555
326,0,13,9,335,36,9.0,1.0,2.0,6,1,7,10,10,6,10,0,0,0,0,0,0,0.1111111111111111
75,1,3,10,60,24,1.0,6.0,1.0,5,1,5,6,7,6,5,5,6,7,6,5,5,0.1
211,0,9,20,222,28,13.0,2.0,9.0,6,0,4,10,10,5,7,0,0,0,0,0,0,0.05
162,1,7,16,143,27,10.0,4.0,4.0,4,0,3,6,6,2,7,3,6,6,2,7,4,0.0625
371,1,14,20,348,27,8.0,2.0,9.0,9,0,3,8,7,6,7,3,8,7,6,7,9,0.05
112,0,5,10,122,20,3.0,6.0,11.0,8,1,7,7,7,9,7,0,0,0,0,0,0,0.1
191,1,8,10,178,28,8.0,2.0,7.0,7,0,5,8,7,7,5,5,8,7,7,5,7,0.1
207,0,9,20,214,23,10.0,2.0,1.0,8,0,4,6,6,4,4,0,0,0,0,0,0,0.05
425,1,16,6,416,28,8.0,2.0,7.0,6,1,5,8,9,8,7,5,8,9,8,7,6,0.16666666666666666
13,1,1,10,5,22,1.0,4.0,1.0,10,1,10,10,10,10,10,10,10,10,10,10,10,0.1
95,1,4,18,87,26,8.0,2.0,7.0,4,0,6,7,6,6,6,6,7,6,6,6,4,0.05555555555555555
227,1,9,20,213,26,8.0,2.0,7.0,6,1,6,8,8,7,7,6,8,8,7,7,6,0.05
376,1,14,20,350,25,8.0,4.0,10.0,5,0,6,9,7,4,5,6,9,7,4,5,5,0.05
358,0,14,18,363,26,8.0,4.0,7.0,7,0,6,7,7,7,7,0,0,0,0,0,0,0.05555555555555555
426,1,16,6,417,24,8.0,2.0,13.0,6,0,3,8,5,4,2,3,8,5,4,2,6,0.16666666666666666
104,1,4,18,93,27,10.0,2.0,2.0,5,1,7,8,6,8,6,7,8,6,8,6,5,0.05555555555555555
275,1,11,21,268,21,5.0,2.0,7.0,7,1,9,7,8,7,8,9,7,8,7,8,7,0.047619047619047616
26,0,2,16,52,23,11.0,2.0,9.0,4,0,2,7,6,4,4,0,0,0,0,0,0,0.0625
88,0,4,18,108,23,11.0,2.0,9.0,8,0,8,10,10,5,10,0,0,0,0,0,0,0.05555555555555555
418,0,16,8,423,25,1.0,4.0,1.0,5,0,6,8,7,6,5,0,0,0,0,0,0,0.125
215,1,9,20,213,26,8.0,4.0,7.0,6,0,4,8,4,5,4,4,8,4,5,4,6,0.05
44,1,2,19,26,24,3.0,2.0,2.0,7,1,8,7,7,8,7,8,7,7,8,7,7,0.05263157894736842
77,0,4,18,104,22,11.0,2.0,11.0,3,0,6,6,5,5,5,0,0,0,0,0,0,0.05555555555555555
89,0,4,18,104,27,8.0,2.0,2.0,5,1,9,9,9,8,8,0,0,0,0,0,0,0.05555555555555555
80,0,4,18,102,27,10.0,4.0,2.0,8,1,8,8,8,8,8,0,0,0,0,0,0,0.05555555555555555
329,0,13,9,336,29,9.0,2.0,2.0,6,1,7,7,9,6,7,0,0,0,0,0,0,0.1111111111111111
123,1,5,10,113,18,5.0,4.0,4.0,2,0,6,5,5,4,4,6,5,5,4,4,2,0.1
341,0,14,18,365,23,13.0,4.0,10.0,4,0,7,7,8,7,10,0,0,0,0,0,0,0.05555555555555555
81,0,4,18,94,28,6.0,2.0,6.0,8,0,2,10,10,8,10,0,0,0,0,0,0,0.05555555555555555
391,0,15,19,413,28,6.0,2.0,6.0,6,0,5,6,5,5,6,0,0,0,0,0,0,0.05263157894736842
38,0,2,16,52,23,1.0,1.0,1.0,2,0,2,9,9,3,8,0,0,0,0,0,0,0.0625
407,1,15,18,380,24,14.0,2.0,6.0,5,0,6,7,7,6,7,6,7,7,6,7,5,0.05555555555555555
206,0,9,20,216,31,8.0,1.0,9.0,7,1,2,8,8,7,8,0,0,0,0,0,0,0.05
150,0,7,16,161,31,7.0,2.0,2.0,2,0,8,5,8,8,8,0,0,0,0,0,0,0.0625
160,1,7,16,145,29,8.0,1.0,8.0,5,0,4,8,9,4,10,4,8,9,4,10,5,0.0625
190,1,8,10,174,25,13.0,2.0,9.0,6,0,5,8,8,8,4,5,8,8,8,4,6,0.1
52,1,2,19,29,21,1.0,2.0,1.0,4,0,5,7,6,7,5,5,7,6,7,5,4,0.05263157894736842
372,1,14,20,346,27,8.0,2.0,10.0,7,1,9,9,8,8,8,9,9,8,8,8,7,0.05
43,1,2,19,29,24,8.0,2.0,2.0,2,0,4,4,5,4,6,4,4,5,4,6,2,0.05263157894736842
377,1,14,20,360,26,8.0,4.0,7.0,7,0,8,8,8,8,7,8,8,8,8,7,7,0.05
144,0,7,16,160,23,10.0,2.0,2.0,7,0,7,8,8,8,8,0,0,0,0,0,0,0.0625
371,1,14,20,358,27,8.0,2.0,9.0,10,0,6,6,7,3,7,6,6,7,3,7,10,0.05
408,1,15,18,382,24,13.0,3.0,9.0,9,1,8,7,7,8,6,8,7,7,8,6,9,0.05555555555555555
418,0,16,8,424,25,1.0,4.0,1.0,7,0,7,8,7,5,5,0,0,0,0,0,0,0.125
405,1,15,18,395,30,13.0,1.0,9.0,6,0,5,10,10,9,9,5,10,10,9,9,6,0.05555555555555555
451,1,17,11,437,30,8.0,4.0,7.0,3,1,5,5,4,3,4,5,5,4,3,4,3,0.09090909090909091
285,1,11,21,258,24,5.0,6.0,7.0,7,1,7,7,7,7,7,7,7,7,7,7,7,0.047619047619047616
271,0,11,21,290,23,11.0,2.0,11.0,6,1,6,7,7,6,6,0,0,0,0,0,0,0.047619047619047616
44,1,2,19,32,24,3.0,2.0,2.0,8,1,7,6,6,7,7,7,6,6,7,7,8,0.05263157894736842
84,0,4,18,99,32,10.0,3.0,4.0,5,1,7,5,6,7,5,0,0,0,0,0,0,0.05555555555555555
268,0,11,21,292,24,4.0,3.0,4.0,6,1,9,8,9,8,8,0,0,0,0,0,0,0.047619047619047616
402,1,15,18,389,29,2.0,4.0,7.0,5,1,8,7,6,8,6,8,7,6,8,6,5,0.05555555555555555
345,0,14,18,376,24,10.0,2.0,4.0,1,0,5,8,9,8,8,0,0,0,0,0,0,0.05555555555555555
366,1,14,20,359,27,8.0,2.0,6.0,7,1,7,7,8,8,6,7,7,8,8,6,7,0.05
90,0,4,18,108,23,10.0,4.0,10.0,2,1,7,7,6,6,4,0,0,0,0,0,0,0.05555555555555555
452,1,17,11,439,29,8.0,4.0,7.0,6,1,8,7,7,6,6,8,7,7,6,6,6,0.09090909090909091
238,0,10,9,250,27,15.0,2.0,6.0,8,1,9,8,9,9,10,0,0,0,0,0,0,0.1111111111111111
281,1,11,21,262,27,3.0,2.0,2.0,4,1,6,7,7,5,3,6,7,7,5,3,4,0.047619047619047616
80,0,4,18,105,27,10.0,4.0,2.0,8,1,8,8,9,9,8,0,0,0,0,0,0,0.05555555555555555
120,0,5,10,124,20,6.0,3.0,6.0,8,0,2,1,4,1,6,0,0,0,0,0,0,0.1
400,1,15,18,382,26,8.0,2.0,7.0,5,0,5,6,9,5,6,5,6,9,5,6,5,0.05555555555555555
161,1,7,16,154,22,10.0,2.0,10.0,8,1,9,9,8,9,7,9,9,8,9,7,8,0.0625
431,0,17,14,446,27,9.0,4.0,7.0,5,0,7,9,9,8,6,0,0,0,0,0,0,0.07142857142857142
220,1,9,20,201,25,13.0,6.0,6.0,10,1,10,10,10,10,10,10,10,10,10,10,10,0.05
116,0,5,10,130,21,13.0,2.0,10.0,7,1,10,7,7,7,6,0,0,0,0,0,0,0.1
259,0,11,21,287,25,10.0,2.0,2.0,4,0,6,6,7,4,8,0,0,0,0,0,0,0.047619047619047616
151,0,7,16,164,28,13.0,2.0,9.0,7,0,6,8,8,5,7,0,0,0,0,0,0,0.0625
349,0,14,18,368,33,3.0,2.0,7.0,8,1,4,8,6,8,7,0,0,0,0,0,0,0.05555555555555555
267,0,11,21,281,26,10.0,4.0,4.0,6,0,4,6,7,3,4,0,0,0,0,0,0,0.047619047619047616
142,0,7,16,173,24,13.0,2.0,2.0,7,1,6,4,8,9,9,0,0,0,0,0,0,0.0625
248,1,10,9,239,27,8.0,6.0,7.0,4,0,6,7,8,6,3,6,7,8,6,3,4,0.1111111111111111
168,1,7,16,145,23,10.0,4.0,10.0,7,1,7,7,7,7,7,7,7,7,7,7,7,0.0625
397,1,15,18,390,24,1.0,2.0,1.0,2,0,3,9,10,3,8,3,9,10,3,8,2,0.05555555555555555
327,0,13,9,340,29,13.0,2.0,7.0,1,0,8,3,7,6,7,0,0,0,0,0,0,0.1111111111111111
122,1,5,10,114,22,1.0,6.0,1.0,4,0,6,10,7,7,7,6,10,7,7,7,4,0.1
123,1,5,10,116,18,5.0,4.0,4.0,2,0,6,5,5,4,4,6,5,5,4,4,2,0.1
349,0,14,18,371,33,3.0,2.0,7.0,8,1,7,8,7,8,7,0,0,0,0,0,0,0.05555555555555555
110,1,4,18,84,28,14.0,2.0,6.0,2,0,8,6,7,6,8,8,6,7,6,8,2,0.05555555555555555
192,1,8,10,183,24,8.0,2.0,7.0,6,0,5,7,6,5,5,5,7,6,5,5,6,0.1
124,1,5,10,119,22,8.0,4.0,1.0,7,1,9,8,4,5,3,9,8,4,5,3,7,0.1
211,0,9,20,216,28,13.0,2.0,9.0,7,0,4,9,10,7,10,0,0,0,0,0,0,0.05
202,0,9,20,226,22,2.0,2.0,2.0,5,1,9,8,8,9,8,0,0,0,0,0,0,0.05
155,0,7,16,166,27,8.0,2.0,9.0,5,0,8,7,7,6,6,0,0,0,0,0,0,0.0625
272,0,11,21,284,25,11.0,2.0,11.0,6,0,3,4,6,5,6,0,0,0,0,0,0,0.047619047619047616
396,0,15,19,411,25,15.0,4.0,6.0,3,1,7,8,9,9,8,0,0,0,0,0,0,0.05263157894736842
133,0,6,5,140,24,5.0,4.0,2.0,6,0,8,7,7,8,8,0,0,0,0,0,0,0.2
92,0,4,18,110,29,9.0,2.0,7.0,8,1,6,9,9,8,8,0,0,0,0,0,0,0.05555555555555555
272,0,11,21,290,25,11.0,2.0,11.0,7,1,7,6,9,7,8,0,0,0,0,0,0,0.047619047619047616
231,1,9,20,194,30,13.0,3.0,9.0,5,0,5,4,6,5,6,5,4,6,5,6,5,0.05
359,0,14,18,363,26,6.0,2.0,9.0,6,0,6,5,5,6,6,0,0,0,0,0,0,0.05555555555555555
261,0,11,21,293,26,10.0,4.0,2.0,5,0,7,6,7,6,5,0,0,0,0,0,0,0.047619047619047616
53,1,2,19,37,28,4.0,2.0,4.0,7,0,7,8,8,7,8,7,8,8,7,8,7,0.05263157894736842
216,1,9,20,205,27,8.0,2.0,7.0,5,1,7,8,7,8,7,7,8,7,8,7,5,0.05
279,1,11,21,255,25,10.0,2.0,2.0,6,0,5,5,7,3,6,5,5,7,3,6,6,0.047619047619047616
274,1,11,21,264,24,3.0,3.0,2.0,6,1,6,7,8,8,9,6,7,8,8,9,6,0.047619047619047616
26,0,2,16,55,23,11.0,2.0,9.0,5,0,6,6,6,6,6,0,0,0,0,0,0,0.0625
350,0,14,18,361,31,10.0,2.0,4.0,8,0,4,9,9,4,9,0,0,0,0,0,0,0.05555555555555555
202,0,9,20,227,22,2.0,2.0,2.0,4,0,8,7,8,8,9,0,0,0,0,0,0,0.05
208,0,9,20,225,25,10.0,1.0,7.0,7,0,5,8,8,9,9,0,0,0,0,0,0,0.05
154,0,7,16,161,27,8.0,2.0,7.0,5,1,10,8,9,9,8,0,0,0,0,0,0,0.0625
122,1,5,10,112,22,1.0,6.0,1.0,7,1,9,9,9,9,9,9,9,9,9,9,7,0.1
30,0,2,16,53,23,1.0,2.0,1.0,6,1,7,7,8,7,9,0,0,0,0,0,0,0.0625
421,0,16,8,426,25,11.0,4.0,11.0,2,0,2,2,7,2,8,0,0,0,0,0,0,0.125
292,1,11,21,269,28,13.0,1.0,7.0,7,0,7,8,7,6,7,7,8,7,6,7,7,0.047619047619047616
49,1,2,19,39,25,8.0,4.0,7.0,4,0,7,8,7,8,4,7,8,7,8,4,4,0.05263157894736842
206,0,9,20,233,31,8.0,1.0,9.0,7,1,1,7,7,7,7,0,0,0,0,0,0,0.05
216,1,9,20,202,27,8.0,2.0,7.0,7,1,9,9,9,9,9,9,9,9,9,9,7,0.05
437,0,17,14,453,23,11.0,2.0,11.0,4,0,6,8,10,6,9,0,0,0,0,0,0,0.07142857142857142
131,1,5,10,120,19,5.0,4.0,10.0,1,0,6,6,7,6,6,6,6,7,6,6,1,0.1
420,0,16,8,427,22,11.0,2.0,11.0,3,0,7,7,7,6,6,0,0,0,0,0,0,0.125
381,0,15,19,403,24,14.0,2.0,6.0,5,0,6,8,8,7,6,0,0,0,0,0,0,0.05263157894736842
225,1,9,20,205,28,8.0,3.0,7.0,5,0,7,4,5,3,7,7,4,5,3,7,5,0.05
53,1,2,19,34,28,4.0,2.0,4.0,7,1,8,8,8,8,8,8,8,8,8,8,7,0.05263157894736842
438,0,17,14,442,23,11.0,2.0,11.0,5,0,4,3,6,2,2,0,0,0,0,0,0,0.07142857142857142
